Model,Fold,MAE,RMSE,R2,Training Time (s),Inference Time (s)
Ridge Regression,1,5.242255,5.262584,-12.752766,0.003907,0.001662
Ridge Regression,2,1.32292,1.350464,-0.088463,0.002802,0.00159
Histogram Gradient Boosting,1,8.477621,8.59557,-35.689463,0.084277,0.001693
Histogram Gradient Boosting,2,8.319701,8.419796,-41.31077,0.028858,0.00191
Ridge PCA,1,4.405873,4.491341,-9.017149,0.002193,0.000942
Ridge PCA,2,4.314708,4.426567,-10.694504,0.001757,0.000896
Quantum Neural Network,1,9.073575,9.19898,-41.021478,1.501465,0.203673
Quantum Neural Network,2,9.025964,9.110461,-48.536865,2.055492,0.141767
